episode,total_reward
611,23696.6257
612,23666.1476042
613,23636.7539358
614,23680.5370766
615,23695.9319282
616,23559.6919307
617,23694.3388815
618,23641.6121845
619,23559.4579194
620,23328.8398799
621,23449.9948468
622,23697.9495846
623,23697.8039263
624,23688.4955258
625,23591.4440098
626,23632.3431549
627,23625.8282538
628,23685.1512733
629,23681.7618791
630,23515.4174442
631,23672.421109
632,23649.3900648
633,23696.1195629
634,23673.3798075
635,23692.1716261
636,23637.7677657
637,23687.458917
638,23682.8041129
639,23697.6413902
640,23684.2450414
641,23692.5780393
642,23696.0829543
643,23615.3575826
644,23696.3477185
645,23642.0838864
646,23623.2220303
647,23632.8558946
648,23638.5057461
649,23543.0876916
650,23642.9606507
651,23680.8290597
652,23672.5240017
653,23585.2081651
654,23698.2287199
655,23663.148144
656,23680.3978491
657,23416.7742711
658,23635.5314231
659,23601.3100725
660,23596.2533734
661,23558.6162806
662,23692.6799951
663,23698.1465392
664,23657.2642312
665,23688.6792779
666,23591.4068534
667,23658.7996879
668,23676.7051606
669,23655.3631657
670,23619.5780776
671,23672.6138873
672,23694.2871832
673,23609.3912506
674,23693.1639452
675,23563.368826
676,23625.6346811
677,23671.82164
678,23681.3197916
679,23575.4123127
680,23687.669955
681,23660.9807299
682,23692.25573
683,23553.637709
684,23693.0886171
685,23690.4520147
686,23658.3207033
687,23697.1459418
688,23469.9559803
689,23657.9484753
690,23697.8959351
691,23643.3861589
692,23695.5367951
693,23664.910331
694,23592.5576644
695,23621.4452853
696,23647.6351121
697,23578.3804137
698,23676.2888609
699,23689.8249286
700,23696.6907696
701,23397.3956276
702,23486.8818239
703,23697.4208259
704,23696.0551506
705,23691.5399195
706,23692.68397
707,23692.1573271
708,23674.6873557
709,23689.1781958
710,23582.6229265
711,23661.5566907
712,23665.665988
713,23695.5722078
714,23679.205355
715,23652.9610677
716,23521.2966468
717,23655.7129952
718,23689.3728942
719,23665.258086
720,23577.955205
721,23678.3879471
722,23678.9978704
723,23696.5705287
724,23675.0991305
725,23686.6153337
726,23635.0372975
727,23615.8811981
728,23650.8575672
729,23624.9014572
730,23697.8561857
731,23594.3739833
732,23685.5734674
733,23614.5701929
734,23643.9940138
735,23695.440365
736,23695.7506049
737,23640.3085651
738,23655.9659474
739,23681.6136915
740,23607.9516469
741,23697.7624113
742,23670.5275006
743,23651.6037838
744,23689.8208462
745,23697.3279536
746,23552.2110153
747,23671.6293513
748,23686.2621593
749,23638.277095
750,23654.4820603
751,23663.8275811
752,23697.673476
753,23669.5523067
754,23659.5842695
755,23571.030767
756,23611.9628083
757,23690.7405318
758,23618.1947857
759,23661.6046317
760,23698.9705243
761,23640.3782014
762,23620.784787
763,23653.9572416
764,23688.8972836
765,23682.0099359
766,23660.0584843
767,23693.4403338
768,23610.7100245
769,23695.6583889
770,23525.4062927
771,23535.6843299
772,23581.4363484
773,23682.1973009
774,23494.7763853
775,23695.5151784
776,23623.8244144
777,23329.399734
778,23658.9822563
779,23683.5859488
780,23670.9682574
781,23684.6389919
782,23683.1712485
783,23696.6509232
784,23654.1836887
785,23680.5354702
786,23697.250126
787,23507.4624704
788,23507.3051837
789,23697.3813188
790,23564.5317084
791,23662.9117885
792,23673.5663916
793,23619.119079
794,23681.2647215
795,23656.562624
796,23690.4365686
797,23698.4769894
798,23682.8368021
799,23694.4792436
800,23639.8740305
801,23630.4579979
802,23566.8590766
803,23675.7658929
804,23598.300099
805,23689.0434022
806,23673.7974087
807,23675.2649098
808,23686.3534276
809,23568.6015278
810,23637.9744844
811,23634.6259568
812,23650.8693111
813,23695.1934001
814,23672.8559396
815,23691.7423509
816,23621.503268
817,23595.5576126
818,23666.545318
819,23689.5454645
820,23694.8589565
821,23679.9493931
822,23672.6786537
823,23696.8385113
824,23629.1393407
825,23664.9965178
826,23671.1340767
827,23646.7184577
828,23678.9432161
829,23690.0394116
830,23669.4426646
831,23659.7508249
832,23666.2013746
833,23620.9597088
834,23682.7937885
835,23685.1598558
836,23576.9252271
837,23638.1457521
838,23671.5728378
839,23593.7363637
840,23681.1329616
841,23653.1923204
842,23677.0983174
843,23681.4439567
844,23668.3140236
845,23679.6962147
846,23677.3840962
847,23664.933758
848,23664.5502288
849,23650.0288934
850,23637.6026123
851,23695.2072465
852,23655.8991006
853,23658.1421878
854,23664.729214
855,23697.4408506
856,23685.3171914
857,23586.0929876
858,23697.3445295
859,23688.6891654
860,23696.5105723
861,23695.1343382
862,23687.0073077
863,23696.7345699
864,23683.8179405
865,23683.8849343
866,23687.1221459
867,23674.4990556
868,23609.5644911
869,23686.1244263
870,23645.803972
871,23645.4794365
872,23403.041275
873,23692.9310181
874,23692.009429
875,23654.4971714
876,23442.3091114
877,23684.5307804
878,23691.5838912
879,23688.6406554
880,23684.4581335
881,23682.6239111
882,23644.6318366
883,23655.3114715
884,23494.8425781
885,23693.9246785
886,23641.8913417
887,23688.8945043
888,23598.591154
889,23690.4439298
890,23636.095445
891,23672.2226639
892,23696.5081627
893,23690.0462638
894,23685.8738223
895,23567.8893124
896,23568.0935797
897,23598.876959
898,23641.7440058
899,23685.7108856
900,23697.4503769
901,23510.0391415
902,23664.0438017
903,23651.116923
904,23578.5622874
905,23664.4376331
906,23651.8890991
907,23644.9011352
908,23695.1648579
909,23677.077566
910,23690.7587205
911,23682.3532332
912,23545.4097902
913,23666.8790137
914,23661.1313819
915,23543.126453
916,23670.2450753
917,23694.8404845
918,23685.8253183
919,23695.4252067
920,23650.1980812
921,23587.9991672
922,23609.5148051
923,23522.973103
924,23535.873183
925,23620.0865847
926,23538.7710506
927,23694.5890892
928,23689.9281597
929,23697.743995
930,23665.8799171
931,23696.258656
932,23654.4947575
933,23673.5431469
934,23606.5561346
935,23696.5350104
936,23538.0430623
937,23592.3700848
938,23668.4695932
939,23669.6574465
940,23685.146858
941,23467.2196852
942,23620.8320167
943,23620.8678623
944,23612.2901802
945,23632.876086
946,23463.0331547
947,23575.1071846
948,23674.5980023
949,23653.4279479
950,23568.0221035
951,23679.3812845
952,23659.6123839
953,23681.3099816
954,23663.7557886
955,23672.7725798
956,23522.1513084
957,23672.0856984
958,23696.2705177
959,23665.050403
960,23663.7314795
961,23688.9502662
962,23662.591692
963,23696.0579617
964,23673.0977513
965,23698.5947893
966,23635.1472394
967,23694.5409306
968,23687.3890567
969,23543.7543998
970,23593.4914842
971,23472.1811455
972,23695.8374062
973,23693.2704518
974,23664.3243945
975,23474.5561298
976,23687.7577188
977,23635.5075792
978,23691.2019758
979,23517.9098864
980,23515.2040791
981,23625.0439894
982,23547.0486775
983,23697.113969
984,23655.3198606
985,23597.0793111
986,23607.3481448
987,23618.1682363
988,23655.6628305
989,23419.1434304
990,23690.0441344
991,23653.5292046
992,23697.3789077
993,23590.2013225
994,23592.4321261
995,23697.9851938
996,23645.4142386
997,23681.0015741
998,23676.663695
999,23694.6744939
1000,23694.9960702
