time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.15656960722e-07,-9.58492853501e-09,10.0034998286,6.28317281196,0.000289337124264,0.0,-2.71188550476e-05,-9.68795401354e-07,0.116655402677,-0.000628086322376,0.0130484638363,0.0,441.2198993132927,442.2955922755439,442.5732377306459,442.5215533606077
0.12000000000000001,-1.27899366998e-05,-4.09688245862e-07,10.0162650128,6.28269144499,0.00156053491373,0.0,-0.000511640079631,-3.40663355515e-05,0.308817691487,-0.030002879319,0.0338544152015,0.0,464.0829206031736,465.71285471498885,466.75445844257194,464.45678343392905
0.18,-8.79831767704e-05,-2.14031692127e-05,10.0400504589,6.28089690149,0.00370954742849,0.0,-0.00223146368572,-0.000869019007024,0.483971333658,-0.0297221056383,0.0394774667003,0.0,459.9966165761566,460.4421323683214,460.27781558537623,460.2997834553447
0.23999999999999996,-0.000322412349211,-0.000135245862785,10.0753160752,6.27968693449,0.006954776048,0.0,-0.00592485581897,-0.00309633839691,0.691444310887,-0.00581758351592,0.0735971159205,0.0,468.9237379990977,471.56793127994524,468.9110073245467,470.76402671747087
0.3,-0.000844709347901,-0.000397596787082,10.1206178489,6.27924468383,0.0111471530236,0.0,-0.0119420743958,-0.00569011992588,0.81852792519,-0.0106739896659,0.0611347354091,0.0,446.6647363646269,445.6510381804688,445.8990918415981,445.50234846354084
0.36000000000000004,-0.00180821106429,-0.000823432716324,10.1729330605,6.27884864282,0.0150561828324,0.0,-0.0205649505594,-0.008556371169,0.925226574986,0.000504776390995,0.0721646227094,0.0,439.064132788516,439.9812999603639,439.48760705358194,440.4131571562999
0.4200000000000001,-0.0034052909877,-0.00143581331246,10.2336866746,6.27904571318,0.0194265175727,0.0,-0.0331603865594,-0.0118422044388,1.09973384255,0.00833356720038,0.0741537830218,0.0,459.4517126324664,459.613293968945,461.84604487053565,462.462970445667
0.48000000000000015,-0.00582512955162,-0.00223210007007,10.303190027,6.27947882964,0.0247547114963,0.0,-0.0480198171666,-0.0146512955033,1.21691567049,0.00488979452327,0.108344903135,0.0,443.2380756470499,446.0449441208239,442.677111126691,442.393563127865
0.5400000000000001,-0.0092294821623,-0.00318482081271,10.3786925479,6.27966740051,0.0308185341715,0.0,-0.0660879169907,-0.0170814603254,1.29972667099,-0.000602670279422,0.0796591836521,0.0,434.5463558352136,432.14403036135604,432.85495383400547,432.39247995970754
0.6000000000000002,-0.0138140027799,-0.00427844251834,10.4585414268,6.27919278526,0.0356567988254,0.0,-0.087190850822,-0.0193902146234,1.36181437461,-0.0294695185401,0.0825252123153,0.0,426.5197997792571,426.7700140351034,427.6283844874526,425.162592819052
0.6600000000000003,-0.0198226586977,-0.00553371714845,10.5438338213,6.27722233149,0.0404163542412,0.0,-0.113602562913,-0.0226464498939,1.48109678881,-0.0406178492265,0.0720102702035,0.0,446.07915314396075,445.22475224040016,444.75546322999054,443.84108812838736
0.7200000000000003,-0.0273806241212,-0.00700760388724,10.6330261407,6.27507304675,0.0447167116611,0.0,-0.138712193459,-0.0266852972411,1.49194715856,-0.0276351667764,0.0709890149287,0.0,410.15880534641497,410.07253118644934,409.4384256537055,410.59101416851814
0.7800000000000004,-0.0366868770987,-0.00879018301937,10.7264794122,6.27289457417,0.0488367417465,0.0,-0.171935741131,-0.0329238652294,1.62295978402,-0.0657573848254,0.0635669829385,0.0,448.94686710168776,448.34780810405266,451.0440795320413,447.9540428741495
0.8400000000000004,-0.0480179339042,-0.0109910315488,10.8266599297,6.26906575897,0.0525722356932,0.0,-0.206141572549,-0.0408283242553,1.71622802449,-0.060186398859,0.0595044525,0.0,436.84892127324366,436.5129274087466,438.4171793150237,438.87673314736395
0.9000000000000005,-0.0615814345108,-0.0137710322268,10.9343901941,6.26624425244,0.0560967006386,0.0,-0.246355447242,-0.052181092207,1.87450338313,-0.028878184078,0.0571695803734,0.0,458.24130821098646,458.0579754381873,457.07285208143884,459.5594833872031
0.9600000000000005,-0.0777578731899,-0.0173250362995,11.0537175405,6.26460188515,0.060520932264,0.0,-0.293327465695,-0.066482304133,2.10264492138,-0.0245206569538,0.0949589238456,0.0,478.6007023989222,481.47150583398707,478.9621324509995,479.29327517656117
1.0200000000000005,-0.0966185442848,-0.0216994034416,11.1826502461,6.26293886686,0.0660764907865,0.0,-0.335920065557,-0.0794830389425,2.1948927464,-0.0350286399202,0.0873858475168,0.0,440.0999677852552,439.48004488686206,439.1554582518974,438.28279561300144
1.0800000000000005,-0.118079113842,-0.0268689857823,11.3160930864,6.26082124905,0.0707864713487,0.0,-0.379915882783,-0.0930353631207,2.25304240762,-0.0358288271009,0.0474557400523,0.0,429.17627920517685,425.7784793035439,430.0948169609805,430.02645612074593
1.1400000000000006,-0.142365612777,-0.0329245698405,11.454460676,6.25946806003,0.0738080143323,0.0,-0.429923862294,-0.108983673717,2.35896155384,-0.00429245366601,0.0556096841569,0.0,444.2741904524785,444.94380900407197,442.8639110020772,445.45002647718525
1.2000000000000006,-0.169935750406,-0.0400284692327,11.6020992267,6.25918564931,0.0768915163731,0.0,-0.489429539412,-0.127833601441,2.5618473525,-0.00554882876058,0.0412379123256,0.0,475.1109451376928,474.00930211042606,474.2823288278267,474.1859151841568
